TIME,GEO,S_ADJ,AGE,UNIT,SEX,Value,Flag and Footnotes
2019M11,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"3,193",
2019M11,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,13.8,
2019M11,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"3,196",
2019M11,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,13.8,
2019M11,France,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"2,501",
2019M11,France,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,8.4,
2019M11,France,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"2,437",
2019M11,France,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,8.2,
2019M11,Croatia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,120,
2019M11,Croatia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.7,
2019M11,Croatia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,114,
2019M11,Croatia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.4,
2019M11,Italy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"2,601",
2019M11,Italy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,10,
2019M11,Italy,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"2,438",
2019M11,Italy,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,9.4,
2019M11,Cyprus,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,32,
2019M11,Cyprus,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,7,
2019M11,Cyprus,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,29,
2019M11,Cyprus,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.5,
2019M11,Latvia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,56,
2019M11,Latvia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.8,
2019M11,Latvia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,58,
2019M11,Latvia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.9,
2019M11,Lithuania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,93,
2019M11,Lithuania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.4,
2019M11,Lithuania,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,96,
2019M11,Lithuania,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.5,
2019M11,Luxembourg,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,17,
2019M11,Luxembourg,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.7,
2019M11,Luxembourg,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,17,
2019M11,Luxembourg,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.6,
2019M11,Hungary,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,155,
2019M11,Hungary,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.3,
2019M11,Hungary,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,159,
2019M11,Hungary,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.4,
2019M11,Malta,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,9,
2019M11,Malta,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.3,
2019M11,Malta,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,9,
2019M11,Malta,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.3,
2019M11,Netherlands,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,322,
2019M11,Netherlands,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.5,
2019M11,Netherlands,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,324,
2019M11,Netherlands,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.5,
2019M11,Austria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,171,
2019M11,Austria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.8,
2019M11,Austria,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,193,
2019M11,Austria,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.2,
2019M11,Poland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,479,
2019M11,Poland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,2.8,
2019M11,Poland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,494,
2019M11,Poland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,2.9,
2019M11,Portugal,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,352,
2019M11,Portugal,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.8,
2019M11,Portugal,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,347,
2019M11,Portugal,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.7,
2019M11,Romania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,355,
2019M11,Romania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4,
2019M11,Romania,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,361,
2019M11,Romania,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4,
2019M11,Slovenia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,39,
2019M11,Slovenia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.8,
2019M11,Slovenia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,42,
2019M11,Slovenia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.1,
2019M11,Slovakia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,153,
2019M11,Slovakia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.6,
2019M11,Slovakia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,154,
2019M11,Slovakia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.6,
2019M11,Finland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,160,
2019M11,Finland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.9,
2019M11,Finland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,186,
2019M11,Finland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.8,
2019M11,Sweden,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,378,
2019M11,Sweden,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.8,
2019M11,Sweden,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,405,
2019M11,Sweden,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,7.3,
2019M11,United Kingdom,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"1,200",
2019M11,United Kingdom,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.5,
2019M11,United Kingdom,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"1,237",
2019M11,United Kingdom,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.7,
2019M11,Iceland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,7,
2019M11,Iceland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.6,
2019M11,Iceland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,7,
2019M11,Iceland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.6,
2019M11,Norway,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,107,
2019M11,Norway,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.8,
2019M11,Norway,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,112,
2019M11,Norway,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.9,
2019M11,Switzerland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,187,
2019M11,Switzerland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.8,
2019M11,Switzerland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,198,
2019M11,Switzerland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4,
2019M11,Turkey,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"4,308",
2019M11,Turkey,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,13.3,
2019M11,Turkey,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"4,312",
2019M11,Turkey,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,13.2,
2019M11,United States,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"5,440",
2019M11,United States,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.3,
2019M11,United States,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"5,819",
2019M11,United States,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.5,
2019M11,Japan,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"1,500",
2019M11,Japan,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,2.2,
2019M11,Japan,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"1,530",
2019M11,Japan,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,2.2,
2019M12,European Union - 27 countries (from 2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"14,016",
2019M12,European Union - 27 countries (from 2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.5,
2019M12,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"13,997",
2019M12,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.5,
2019M12,European Union - 28 countries (2013-2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"15,253",
2019M12,European Union - 28 countries (2013-2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.1,
2019M12,European Union - 28 countries (2013-2020),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"15,272",
2019M12,European Union - 28 countries (2013-2020),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.1,
2019M12,European Union - 27 countries (2007-2013),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"15,130",
2019M12,European Union - 27 countries (2007-2013),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.1,
2019M12,European Union - 27 countries (2007-2013),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"15,158",
2019M12,European Union - 27 countries (2007-2013),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.1,
2019M12,European Union - 25 countries (2004-2006),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"14,616",
2019M12,European Union - 25 countries (2004-2006),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.2,
2019M12,European Union - 25 countries (2004-2006),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"14,651",
2019M12,European Union - 25 countries (2004-2006),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.3,
2019M12,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"12,148",
2019M12,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,7.4,
2019M12,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"12,101",
2019M12,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,7.3,
2019M12,Euro area - 19 countries  (from 2015),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"12,148",
2019M12,Euro area - 19 countries  (from 2015),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,7.4,
2019M12,Euro area - 19 countries  (from 2015),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"12,101",
2019M12,Euro area - 19 countries  (from 2015),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,7.3,
2019M12,Euro area - 18 countries (2014),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"12,046",
2019M12,Euro area - 18 countries (2014),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,7.4,
2019M12,Euro area - 18 countries (2014),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"12,006",
2019M12,Euro area - 18 countries (2014),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,7.4,
2019M12,Belgium,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,264,
2019M12,Belgium,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.2,
2019M12,Belgium,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,266,
2019M12,Belgium,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.2,
2019M12,Bulgaria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,145,
2019M12,Bulgaria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.4,
2019M12,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,141,
2019M12,Bulgaria,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.2,
2019M12,Czechia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,103,
2019M12,Czechia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,1.9,
2019M12,Czechia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,106,
2019M12,Czechia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,2,
2019M12,Denmark,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,149,
2019M12,Denmark,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.9,
2019M12,Denmark,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,150,
2019M12,Denmark,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.9,
2019M12,Germany (until 1990 former territory of the FRG),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"1,390",
2019M12,Germany (until 1990 former territory of the FRG),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.1,
2019M12,Germany (until 1990 former territory of the FRG),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"1,449",
2019M12,Germany (until 1990 former territory of the FRG),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.3,
2019M12,Estonia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,31,
2019M12,Estonia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.5,
2019M12,Estonia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,31,
2019M12,Estonia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.4,
2019M12,Ireland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,110,
2019M12,Ireland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.5,
2019M12,Ireland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,116,
2019M12,Ireland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.7,
2019M12,Greece,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,781,
2019M12,Greece,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,16.8,
2019M12,Greece,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,768,
2019M12,Greece,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,16.4,
2019M12,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"3,155",
2019M12,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,13.7,
2019M12,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"3,181",
2019M12,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,13.7,
2019M12,France,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"2,470",
2019M12,France,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,8.3,
2019M12,France,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"2,429",
2019M12,France,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,8.2,
2019M12,Croatia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,123,
2019M12,Croatia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.8,
2019M12,Croatia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,114,
2019M12,Croatia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.4,
2019M12,Italy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"2,528",
2019M12,Italy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,9.8,
2019M12,Italy,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"2,429",
2019M12,Italy,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,9.4,
2019M12,Cyprus,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,31,
2019M12,Cyprus,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.9,
2019M12,Cyprus,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,28,
2019M12,Cyprus,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.3,
2019M12,Latvia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,63,
2019M12,Latvia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.5,
2019M12,Latvia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,63,
2019M12,Latvia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.5,
2019M12,Lithuania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,102,
2019M12,Lithuania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.9,
2019M12,Lithuania,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,95,
2019M12,Lithuania,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.4,
2019M12,Luxembourg,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,19,
2019M12,Luxembourg,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.1,
2019M12,Luxembourg,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,17,
2019M12,Luxembourg,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.6,
2019M12,Hungary,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,160,
2019M12,Hungary,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.4,
2019M12,Hungary,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,159,
2019M12,Hungary,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.4,
2019M12,Malta,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,8,
2019M12,Malta,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.1,
2019M12,Malta,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,9,
2019M12,Malta,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.3,
2019M12,Netherlands,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,276,
2019M12,Netherlands,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3,
2019M12,Netherlands,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,302,
2019M12,Netherlands,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.2,
2019M12,Austria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,198,
2019M12,Austria,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.3,
2019M12,Austria,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,192,
2019M12,Austria,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.2,
2019M12,Poland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,491,
2019M12,Poland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,2.9,
2019M12,Poland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,493,
2019M12,Poland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,2.9,
2019M12,Portugal,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,361,
2019M12,Portugal,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,7,
2019M12,Portugal,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,348,
2019M12,Portugal,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.7,
2019M12,Romania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,368,
2019M12,Romania,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.1,
2019M12,Romania,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,366,
2019M12,Romania,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4,
2019M12,Slovenia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,41,
2019M12,Slovenia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4,
2019M12,Slovenia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,39,
2019M12,Slovenia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.8,
2019M12,Slovakia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,156,
2019M12,Slovakia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.7,
2019M12,Slovakia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,153,
2019M12,Slovakia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.6,
2019M12,Finland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,164,
2019M12,Finland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6,
2019M12,Finland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,185,
2019M12,Finland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.7,
2019M12,Sweden,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,329,
2019M12,Sweden,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6,
2019M12,Sweden,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,367,
2019M12,Sweden,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.6,
2019M12,United Kingdom,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"1,236",
2019M12,United Kingdom,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3.6,
