TIME,GEO,S_ADJ,AGE,UNIT,SEX,Value,Flag and Footnotes
2019M09,Denmark,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,161,
2019M09,Denmark,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,5.3,
2019M09,Denmark,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,160,
2019M09,Denmark,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,5.2,
2019M09,Germany (until 1990 former territory of the FRG),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"1,330",
2019M09,Germany (until 1990 former territory of the FRG),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,3,
2019M09,Germany (until 1990 former territory of the FRG),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"1,356",
2019M09,Germany (until 1990 former territory of the FRG),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,3.1,
2019M09,Estonia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,30,
2019M09,Estonia,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.2,
2019M09,Estonia,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,30,
2019M09,Estonia,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.3,
2019M09,Ireland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,117,
2019M09,Ireland,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,4.8,
2019M09,Ireland,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,118,
2019M09,Ireland,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,4.9,
2019M09,Greece,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,757,
2019M09,Greece,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,15.9,
2019M09,Greece,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,796,
2019M09,Greece,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,16.9,
2019M09,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"3,220",
2019M09,Spain,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,13.9,
2019M09,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"3,243",
2019M09,Spain,"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,14.1,
2019M09,France,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"2,431",
2019M09,France,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,8.2,
2019M09,France,"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"2,475",
